stage,path,subject,purpose,size_bytes,sha256
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/enterprise_purchase_order.json,Machine-readable source schema contract,enterprise_purchase_order.json,5308,ec89951f5b83e0188eb2b2a7aadd972d5a6f1eef325a325327a05fd3cc8410db
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/enterprise_reorder.json,Machine-readable source schema contract,enterprise_reorder.json,1846,6f23276a6c4b80d146ba73e5e86419335e6677fef50e5f6626ccd0a5cc1deaca
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/enterprise_stock_return.json,Machine-readable source schema contract,enterprise_stock_return.json,5965,eae11e1b6baf663008827ffcf901e27faaaade38f91db03d3edf00b3592c73b2
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/enterprise_transfer_from.json,Machine-readable source schema contract,enterprise_transfer_from.json,2653,df935c96fd538909a55272e0611a7d036c3f0cd6bf18c6747438a59ec7d6592c
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/enterprise_transfer_to.json,Machine-readable source schema contract,enterprise_transfer_to.json,2439,ba2d4df551fb06318549ae31c8dbc98ba04368faec899351026e44c1e826f6c2
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/enterprise_variance_master.json,Machine-readable source schema contract,enterprise_variance_master.json,4520,9d38385812f7a2cc9511fbfdef9e764ef1db0b8aa524090dd9a4b8a405442b42
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/enterprise_variance_normal.json,Machine-readable source schema contract,enterprise_variance_normal.json,5002,890b1fa59b1ea3d2d123837e08ea13fc528de50ba93185f118868e31cc4c4a08
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/enterprise_wastage_normal.json,Machine-readable source schema contract,enterprise_wastage_normal.json,2472,d1167c6431230c95370487c89924a31560b3ad1806ab45bbbefb08f3c9cfd8aa
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/gross_net_margin.json,Machine-readable source schema contract,gross_net_margin.json,5953,2686da7d0f80985617aa1a1b96ea9fc5e125ec73bea99c03445b29704838053b
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/item_recipe_report.json,Machine-readable source schema contract,item_recipe_report.json,1962,945ddc083a5e8008a285ca3cc2d1250d0266e0651c9bc86324bdd7ca4806a571
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/purchase_detail.json,Machine-readable source schema contract,purchase_detail.json,5177,0a7e41ec12f256f14cafa7f0ce48e72a8fead0857a9d73f02da218e71a654540
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/recipe_consumption.json,Machine-readable source schema contract,recipe_consumption.json,2567,0f858a884edbe405e2fd1032660a4543488048a09667929864ab64f8cedb49b4
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/stock_in_stock_out.json,Machine-readable source schema contract,stock_in_stock_out.json,2862,bcc6b9d6a0d8d2ff9b66cbb9257d1fdd7111eb84c4ed13295f7a95546e42a003
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/vendor_report.json,Machine-readable source schema contract,vendor_report.json,2546,7033945a366a4f47cf7275ce455bab5165e16d99057e45cefffadcfc90b668b3
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SYNTHETIC_FIDELITY.json,Developer handoff reference,SYNTHETIC_FIDELITY.json,108050,6801e0b4ba6a04de9e2bb2f1a4a543986bd1f7eb213b9582e3684868240b8228
IMPLEMENTATION_STATUS.md,IMPLEMENTATION_STATUS.md,Package control,IMPLEMENTATION_STATUS.md,1509,db2bddc20619f2179927eeac27fe4791716894c7c5794c59737e5cc6d77ad4be
START_HERE.md,START_HERE.md,Package control,START_HERE.md,5223,5b6bcefe0ed7423bf0f00d6232b8499f7ade6a85766290a5ab503fa96fa681f1
VERIFY_PACKAGE.ps1,VERIFY_PACKAGE.ps1,Package control,VERIFY_PACKAGE.ps1,3901,2f68d7b8ae3c8e919154134c5e184924903725b277c232c8c95382dc2d32de5c
