field_id,field_name,display_label,report_count,occurrence_count,semantic_roles,data_type_guesses,status
field:total_taxtotalamountround_off_gross_amount,total_taxtotalamountround_off_gross_amount,Total TaxTotalAmountRound Off Gross Amount,1,1,measure,numeric,ocr_candidate
field:totalamount,totalamount,TotalAmount,2,2,measure,numeric,ocr_candidate
field:totalcharges,totalcharges,TOTALCHARGES,1,1,measure,numeric,ocr_candidate
field:totalorders,totalorders,TOTALORDERS,1,1,dimension,text,ocr_candidate
field:totalsale,totalsale,TOTALSALE,1,1,measure,numeric,ocr_candidate
field:totalsettlement,totalsettlement,TOTALSETTLEMENT,1,1,unknown,text,ocr_candidate
field:totaltax,totaltax,TotalTax,6,6,measure,numeric,ocr_candidate
field:totalusage,totalusage,TotalUsage,1,1,unknown,text,ocr_candidate
field:transactiongrowth,transactiongrowth,TransactionGrowth,1,1,unknown,text,ocr_candidate
field:transactionnumber,transactionnumber,TransactionNumber,1,1,unknown,text,ocr_candidate
field:ttr,ttr,TTR,1,1,unknown,text,ocr_candidate
field:undefined,undefined,UNDEFINED,1,1,unknown,text,ocr_candidate
field:unused,unused,Unused,1,1,unknown,text,ocr_candidate
field:upi,upi,UPI,1,1,unknown,text,ocr_candidate
field:used,used,Used,1,1,unknown,text,ocr_candidate
field:user,user,USER,2,2,dimension,text,ocr_candidate
field:visa,visa,VISA,1,1,unknown,text,ocr_candidate
field:water,water,WATER,1,1,unknown,text,ocr_candidate
field:week,week,Week,1,1,unknown,text,ocr_candidate
field:wellness,wellness,WELLNESS,1,1,unknown,text,ocr_candidate
field:wellness_tea,wellness_tea,Wellness Tea,1,1,unknown,text,ocr_candidate
field:with,with,WITH,1,1,unknown,text,ocr_candidate
field:wow_cw_pw,wow_cw_pw,WoW(CW/PW),1,1,unknown,text,ocr_candidate
field:wtd_cw_pw,wtd_cw_pw,WTD (CW/PW),1,1,unknown,text,ocr_candidate
field:ytd,ytd,YTD,1,1,unknown,text,ocr_candidate
field:ytd_cy_py,ytd_cy_py,YTD (CY/PY),1,1,unknown,text,ocr_candidate
field:zomato,zomato,ZOMATO,6,6,unknown,text,ocr_candidate
